Bucket_Owner,Bucket,Time,Remote_IP,Requester,Request_ID,Operation,Key,HTTP_method,Request_URI,HTTP_status,Error_Code,Bytes_Sent,Object_Size,Total_Time_ms,Turn_Around_Time_ms,Referrer,User_Agent,Version_Id
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:08:06+00:00,52.55.197.86,-,28EE2441BCE25876,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201510.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201510.nc4,200,-,162630026,162630026,4613,134,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:08:12+00:00,52.55.197.86,-,7BAF1BF3BE7CD83E,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201511.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201511.nc4,200,-,162630026,162630026,2274,105,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:08:15+00:00,52.55.197.86,-,7DEC99C1CAAD70E7,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201512.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201512.nc4,200,-,162629967,162629967,3889,160,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:08:19+00:00,52.55.197.86,-,CAC023DB029CF315,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201601.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201601.nc4,200,-,162629967,162629967,2951,323,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:08:23+00:00,52.55.197.86,-,9EAB6B16EC743DB8,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201602.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201602.nc4,200,-,162642415,162642415,4210,166,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:08:27+00:00,52.55.197.86,-,538A7909B9F63758,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201603.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201603.nc4,200,-,162629967,162629967,2606,400,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:08:31+00:00,52.55.197.86,-,4A370F4A1F9E7EBE,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201604.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201604.nc4,200,-,162629967,162629967,10598,196,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:08:42+00:00,52.55.197.86,-,61B4414EA33963D1,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201605.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201605.nc4,200,-,162629967,162629967,2532,217,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:08:45+00:00,52.55.197.86,-,DA3968BDC431B243,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201606.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201606.nc4,200,-,162629967,162629967,3456,195,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T17:08:49+00:00,52.55.197.86,-,B37A9502BA5A476C,REST.GET.OBJECT,merra2/MERRA2_400.tavgM_2d_int_Nx.201607.nc4,GET,/merra2/MERRA2_400.tavgM_2d_int_Nx.201607.nc4,200,-,162629967,162629967,2721,114,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:00:01+00:00,52.55.197.86,-,4306C72FDFE5B7E0,REST.GET.OBJECT,airs/AIRS.2015.01.01.L3.RetStd_IR001.v6.0.11.0.G15013155825.nc.h5,GET,/airs/AIRS.2015.01.01.L3.RetStd_IR001.v6.0.11.0.G15013155825.nc.h5,200,-,317074768,317074768,4912,288,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:01:59+00:00,52.55.197.86,-,58A2E061EC0F7BFA,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198001.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198001.nc4,200,-,112926896,112926896,1768,239,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:01+00:00,52.55.197.86,-,09282C9EF235F644,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198002.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198002.nc4,200,-,112896178,112896178,3010,161,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
3eac033a2244c056eb9ea5b85895c219187bb66b8300870125952a31fe3ea98a,cloudydap,2016-12-06T18:02:05+00:00,52.55.197.86,-,2BE5F20C862A00B9,REST.GET.OBJECT,merra2/MERRA2_100.tavgM_2d_int_Nx.198003.nc4,GET,/merra2/MERRA2_100.tavgM_2d_int_Nx.198003.nc4,200,-,112769522,112769522,3420,311,-,libcurl/7.19.7 NSS/3.21 Basic ECC zlib/1.2.3 libidn/1.18 libssh2/1.4.2,-
